contract,contract_creator,timestamp,method,decoded,raw
0x737791081a398151195a753fb49f9c1b8bc1fcdb,0xcaf2c54e400437da717cf215181b170f65187abf,2025-11-02T14:17:49+00:00,hex+aes-gcm,all:url:https://6666.com,6b564f6d47744246574f777547526d533a72414c4d7342476a4665586f73372b556d43467669314d62326d6166476a64795474496866577859536b7a6a67312f613863494266413d3d
0x737791081a398151195a753fb49f9c1b8bc1fcdb,0xcaf2c54e400437da717cf215181b170f65187abf,2025-11-02T14:17:49+00:00,plaintext,https://example.com/initial,https://example.com/initial
0x98d5270c09b6a1c878212b8e96d9870bc0241b89,0xcaf2c54e400437da717cf215181b170f65187abf,2025-11-17T12:42:07+00:00,hex+aes-gcm,all:url:https://example.com/payload.exe,3954565350362f3463675730627944463a65796e6175754a383361744165785a515771775a7a6f52525433396243484c73312f35553437486e464871514a68417a6d646258744f694f497039577162616a6330352b593736376a673d3d
0x98d5270c09b6a1c878212b8e96d9870bc0241b89,0xcaf2c54e400437da717cf215181b170f65187abf,2025-11-17T12:42:07+00:00,plaintext,https://example.com/initial,https://example.com/initial
0xa14b732632cb42f050f727068f65aa2d6906c7cc,0xcaf2c54e400437da717cf215181b170f65187abf,2025-11-18T04:16:45+00:00,hex+aes-gcm,all:url:https://example.com/initial2,7336524934434a5569656350624b78573a614d496d486943516e725578677a706442694e67375739494d5a57575235736550766a6d7247525337326f65345666756d6f586564696d575577336d54524338614b694a57673d3d
0xa14b732632cb42f050f727068f65aa2d6906c7cc,0xcaf2c54e400437da717cf215181b170f65187abf,2025-11-18T04:16:45+00:00,hex+aes-gcm,https://example.com/initial,77327862646567664a4d30642f6d70773a5a574975772f39512b36727038755050706c58784259616c64692b4f564a45505a4659622f6d566d7543735a74776f326b6b314e355a534534513d3d
0xd93e4c1d941f0d9cb9332639fb6dc7abd3c601b4,0xe46de816cf8c5b8c39f0332b1968a5d8cbace6a1,2025-11-19T10:11:53+00:00,hex+aes-gcm,all:url:https://github.com/ooocyber_sabanoms/puttytest/raw/refs/heads/main/putty.exe,77706832384a4b5373383657427672653a744f5a7861526b2b464144414266516f583451454c4777544a304f376d524a55384d6a776e78666c386d37656a7377362f7264554b4a396356444d5844485955513046755542696863616f754d697341503748584f66724961622f546f6c4f335078646e377173567a6574726a4c484b777063726743364241506c30435a4e64484b53324e
0xd93e4c1d941f0d9cb9332639fb6dc7abd3c601b4,0xe46de816cf8c5b8c39f0332b1968a5d8cbace6a1,2025-11-19T10:11:53+00:00,hex+aes-gcm,all:url:https://github.com/ooocyber_sabanoms/puttytest/raw/refs/heads/main/putty.exe,77706832384a4b5373383657427672653a744f5a7861526b2b464144414266516f583451454c4777544a304f376d524a55384d6a776e78666c386d37656a7377362f7264554b4a396356444d5844485955513046755542696863616f754d697341503748584f66724961622f546f6c4f335078646e377173567a6574726a4c484b777063726743364241506c30435a4e64484b53324e
0xd93e4c1d941f0d9cb9332639fb6dc7abd3c601b4,0xe46de816cf8c5b8c39f0332b1968a5d8cbace6a1,2025-11-19T10:11:53+00:00,hex+aes-gcm,all:url:https://github.com/ooocyber_sabanoms/puttytest/raw/refs/heads/main/putty.exe,70536635675149687945507a623246483a5765573244794c2f584c5634434c73506363596249644f786639353264394c783353344e4d386c306c4f6a3734466d46687a4274377071525844356a4c347a4f70464d4c364c616f6d6c486b475757625355654870797339616f5769434153644371627a6237385a4b6433322b7a7873532b7a376674673875747330576d456b7242646d51
0xd93e4c1d941f0d9cb9332639fb6dc7abd3c601b4,0xe46de816cf8c5b8c39f0332b1968a5d8cbace6a1,2025-11-19T10:11:53+00:00,hex+aes-gcm,all:url:https://github.com/ooocyber_sabanoms/puttytest/raw/refs/heads/main/putty.exe,70536635675149687945507a623246483a5765573244794c2f584c5634434c73506363596249644f786639353264394c783353344e4d386c306c4f6a3734466d46687a4274377071525844356a4c347a4f70464d4c364c616f6d6c486b475757625355654870797339616f5769434153644371627a6237385a4b6433322b7a7873532b7a376674673875747330576d456b7242646d51
